1255.jpg	a man is holding a sword and a woman is holding a sword
3773.jpg	a woman is putting a red bag on a red carpet
6402.jpg	a woman is standing in a doorway
615.jpg	a man is holding a sword and fighting with other men
2296.jpg	a man is riding a horse in front of a crowd
5869.jpg	a man is smoking a cigarette while standing in front of a group of people
3541.jpg	a man is sitting on a bed in an indian outfit
8361.jpg	a woman is standing in the rain
8142.jpg	two men are fighting with each other
283.jpg	a man is standing in front of a light
3973.jpg	a woman is wearing a black veil
6121.jpg	a man is riding a horse and a woman is standing next to him
1458.jpg	a woman in armor is standing in front of a crowd
998.jpg	a group of people are standing on a cliff
6693.jpg	a woman in white is standing in the rain
5044.jpg	a woman is standing on the steps of a building
1354.jpg	a man in armor is holding a sword
1655.jpg	a man and woman are hugging each other
4667.jpg	the bride and groom are standing in front of a fountain
6900.jpg	a woman is holding a tray of food
7270.jpg	two women are dancing in saris
2058.jpg	a man with a beard is looking at another man
1136.jpg	a group of men are standing in front of cannons
8636.jpg	a woman is standing in front of a lake at night
8924.jpg	a man is standing in the water holding a pole
7835.jpg	a large crowd is gathered in a courtyard
4898.jpg	the woman is holding a flower and the man is holding a sword
4492.jpg	a group of men are dancing in a room
9043.jpg	a woman is standing in an empty room
4373.jpg	a man is dancing with a group of people
1850.jpg	a woman is dancing in front of a fountain
5191.jpg	a man is hugging a woman in a white dress
2880.jpg	a woman is standing in a dark room
3337.jpg	a group of women are dancing in a large room
761.jpg	a woman is wearing a red sari and talking to another woman
6514.jpg	a group of people are dancing with swords
485.jpg	an indian woman is wearing traditional clothing
7386.jpg	a man is standing on a balcony with a sword
5389.jpg	a man is wearing a hat and a mustache
3163.jpg	a woman is sitting in a room with gold decorations
8804.jpg	a man is standing next to a woman
2650.jpg	a shirtless man is standing in a dark room
4203.jpg	an old man is sitting on a throne
7168.jpg	a woman is dancing in front of a large crowd
2447.jpg	the woman is smiling and the man is wearing armor
9269.jpg	a man is holding a book with a list of names
8011.jpg	a man in armor is holding a torch
1.jpg	a man is shown holding a certificate from the university of hyderabad
5629.jpg	the woman is wearing a veil and looking at someone
7595.jpg	a man and woman are talking to each other
